url_publication,author,text,total_photos,date,heure,type
https://www.facebook.com/alexia.yankeu.5/posts/pfbid0SwXodLviusmQ2YvMcb4GBaSRJTGfjgj5zn1DGnwueUJWoNsLGcSFvAWftfn44xtwl,Alexia Yankeu,"Please subscribe to my videos content photos, inorder to continue making more quality videos, thanks. https://www.facebook.com/alexia.yankeu.5/subscribenow...",2,2026-08-06, 09:55,posts_facebook
https://www.facebook.com/permalink.php?story_fbid=pfbid0FgTNTPcTGEdvTyMifCvtVKvzmhZBhoSc5CoV92KgxbX9X1JTYjfWBqVis1uPo1YXl&id=100086360920670,W-fabiko blog,Tayc  vient encore de faire un miracle… mais version cuisine Son beatmaker Aznvr Groovz a d’abord vu le koki + plantain mûr et a lancé un gros “Akaaaahhh” … 2 minutes plus tard ? Conversion totale Grâce au koki sacré préparé par maman #Tayc le gars a découvert le paradis culinaire. Résultat il voulait même finir le plat seul Let's go#fabiko,4,2026-05-03, 10:17,posts_facebook
https://www.facebook.com/reel/1698466038040982,,,0,,,posts_facebook
https://www.facebook.com/joreljacques.zang.7/posts/pfbid0BmxGX4HspfBQJ8sYf21ojgHJHzseEBHT2DD2fhMon9UZQBnMHo1VkTRDqQLUvKQMl,Jorel Jacques Zang,"Bon pour être un peu plus sérieux, je te connais seulement de manière virtuelle mais je crois que pour quelqu'un qui te suit depuis longtemps, il ressort souvent que tu aies des proches (probablement de la famille) à Etoudi donc tes informations on peut imaginer qu'elle ne sont pas la contrepartie d'un quelconque deal.",0,2026-08-12, 07:35,posts_facebook
https://www.facebook.com/reel/1029579226362521,,,0,,,posts_facebook
https://www.facebook.com/reel/3144084399124126,Tayc,,0,,,posts_facebook
https://www.facebook.com/reel/1499760898561010,Tayc,,1,,,posts_facebook
https://www.instagram.com/p/DWvvEQ4jNDF/,tayc,"Mesdames & Messieurs, Joÿeux & Joÿeuses,
Mon deuxième album s’appelle JOŸA.
Et il vous appartient.",17,2026-04-05,10:00:12,posts_instagram
https://www.instagram.com/p/Dbn8b3qDHjd/,tayc,19 DECEMBRE 2026 🇨🇲🤍,3,2026-08-04,16:00:01,posts_instagram
https://www.instagram.com/p/DKtvdqOKnzD/,dadju_life,"Je refuse de croire que c’est la fin 🥀. Un feu aussi pur, aussi passionné, ne s’éteint pas, il se repose, il respire, il renaît. Il reviendra. J’en suis sûr. Laissons lui le silence qu’il réclame, le temps qu’il mérite. @tayc s’est retiré à annoncé son départ de la scène musicale.

#dadju #teamdadj #princedadj #poa #mielbook #onajamaisfini #onestdejané #teamdadj #princedadj #onajamaisfini #jaloux #tayc #teamtayc #lafin #music #rnb #pause #mercitayc @tayc #teamtayc #taycdetayc @tayc @dadju #parcdesprinces⚽️ #ohohah",1,2025-06-10,09:09:12,posts_instagram
https://www.instagram.com/p/DAhVFh1J8AG/,haitianpromoplus_official,#TayC • #RoodyRoodboy • #Dadju 📸,1,2024-09-30,00:13:53,posts_instagram
https://www.instagram.com/p/DaCwFlFMVWp/,hrunproduction_,"🔥 TAYC en Live ! Ça va être le FEU ! 🔥

Rendez-vous le 19 septembre à Expobat Saint-Paul ! 

JEU CONCOURS 🎁 
Tente de gagner l’une des 2 rencontres exclusives avec Tayc, pour cela : 

1- Partage la publication en Story 
2- identifie 2 amis en commentaires 

🎟️ Sous réserve d’être titulaire d’un billet pour le concert. Tirage au sort le 01/09/2026

Billeterie : https://www.billetplus.re/evenement/tayc",0,2026-06-26,08:50:15,posts_instagram
https://www.instagram.com/p/DbqhLFwg6WU/,tayc,J-2 #SALO,0,2026-08-05,16:00:04,posts_instagram
https://www.instagram.com/p/DQxGs7jDqlF/,melov.media,"Après nous avoir annoncé la fin de sa carrière, @tayc nous annonce la sortie d’un nouvel album intitulé « Jöya » accompagné du clip vidéo « Il s’appelait Tayc » 🧑🏾‍🦲 🥀

🗓️ 15 Mai 2026 

➖

#tayc #rnb #rnbfrançais #album #afrolove",2,2025-11-07,19:38:21,posts_instagram
https://www.instagram.com/p/Db3XuAdsFQ4/,tayc,SALO est disponible partout ! ☀️🛥️,0,2026-08-10,15:53:39,posts_instagram
https://www.instagram.com/p/Db78-RuCKqv/,tayc,"1- Ton top 3 Joÿa ?
2- Tu viens me voir dans quelle ville prochainement ?
3- Un titre à moi sous-coté ?",9,2026-08-12,10:30:03,posts_instagram
https://www.instagram.com/p/DYPjhcyIQ0K/,braw.officiel,"TAYC NOUS PARLE À COEUR OUVERT 🥀 

sans filtre, L’artiste RnB TAYC nous parle de la raison pour laquelle il a tenu à organiser ce grandiose anniversaire qui réunissait, ses proches, ses fans et plusieurs personnalités. 

ICI ON PERÇOIT L’HUMAIN QUI SE CACHE DERRIÈRE LE GRAND ARTISTE QU’IL EST. 

Un moment de partage, de bienveillance et de respect. 

JOYEUX ANNIVERSAIRE @tayc 

Grand Homme 🥀

#media #rnb #tayc #rnbmusic #france",0,2026-05-12,15:12:17,posts_instagram
https://www.instagram.com/p/DNEiaY6tkWX/,abb_221_sn,🥳❤️🤝,0,2025-08-07,22:44:10,posts_instagram
https://www.instagram.com/p/CSmBGtRja6q/,la_congolisation_one,"Que tout ce qui respire loue l’éternel 
Bon dimanche chez vous ! Avec le frère @taycofficiel qui adore la bouffe😁🔥💥

#cameroun #lacongolisationone #tayc #musique #sunday #nourriture #artist",0,2021-08-15,11:58:34,posts_instagram
https://www.instagram.com/p/DG-umPOOjna/,tout_kin_actu,"🎥 La nouvelle tête de Tayc , la star , vient de marquer la scène musicale avec l’album ‘’Héritage’’, réalisé en collaboration avec Dadju. Un parcours mémorable !

Quelle est votre chanson préférée de cet album ?

#TKACTU",0,2025-03-09,13:23:17,posts_instagram
https://www.instagram.com/p/DaXt0iIDFAd/,tayc,"The world must feel that JOŸ ! 🌍 
PART 1 ONLY ! Let me know in comment the places i missed.",4,2026-07-04,12:13:52,posts_instagram
https://www.instagram.com/p/DGqovXGtu0s/,tout_kin_actu,"🎥 Tu crois pouvoir écrire un vrai couplet ? On t’écoute, « Honey🎶 »
Une belle aventure de Tayc et Dadju.

#TKACTU",0,2025-03-01,18:07:22,posts_instagram
https://www.instagram.com/p/DYcBN7AotdI/,perfect_bouquet,"Comme quoi, il faut toujours croire en ses rêves 🌸 merci @tayc pour cette belle opportunité #bouquetdecupcakes #bouquetofflowers #cupcakes #tayc #joÿa",0,2026-05-17,11:18:34,posts_instagram
https://www.instagram.com/p/DPBneHLjLn4/,_sfshoot,"📸 Shooting exclusif avec @tayc au padel 🎾🔥
Entre deux smashs et beaucoup de good vibes, on a capturé l’énergie, le style et la passion ✨

📍Padelcamp

#tayc #shooting #padel #photo",5,2025-09-25,12:29:45,posts_instagram
https://www.instagram.com/p/DYSa9lvNGO3/,sergepariente,"Deux univers, une même élégance.

D’un côté, Dembélé, Ballon d’Or. 🏆⚽️

De l’autre, @tayc , une voix et une aura uniques. 🎶
Et au milieu, une veste PARIENTE qui accompagne les grands moments avec style. 🖤",0,2026-05-13,17:53:30,posts_instagram
https://www.instagram.com/p/DX_oSEsFCDJ/,radioflorfm,"✨ Demain matin sur FLOR FM !

Tayc sera avec nous demain matin à 9h40 dans le 7-10 Alsace 📻

Il viendra nous parler de son nouvel album « Joya » 💿🔥

📸 Crédit photo : @misterfifou",1,2026-05-06,10:40:55,posts_instagram
https://www.instagram.com/p/DaLdk_GsJ3D/,tayc,"Prenez vos fucking plaaaaaaaces ! Billetterie ouverte.
Lien dans ma bio 🤍",0,2026-06-29,18:02:05,posts_instagram
https://www.instagram.com/p/CmjYWg1J5Au/,tayc.universe,"Aaaaah mes frères et soeurs notre continent fais du bien en cette période de froid Européen 😏 Tayc est bien arrivé au Togo, où il donnera non pas un mais deux concerts ! Les 24 & 25 Décembre ! Joyeuse Fêtes à tous 🤍🌲 #AfrolovInfo

Credits : @taycofficiel",0,2022-12-24,13:46:46,posts_instagram
https://www.instagram.com/p/DWrreUojM8L/,c_a_vous,"Tayc interprète son nouveau single “Girlfriend” en exclusivité sur le plateau de C à Vous, accompagné du talent The Voice, CJM’s 🎤

Le replay de live est disponible sur la plateforme France.Tv 📺🫶",0,2026-04-03,20:13:41,posts_instagram
https://www.instagram.com/p/DYXRKq7kXs1/,spotifyfrance,"Nouveau chapitre 🫂 Près de deux ans après TESTIMONY., @tayc dévoile son second album JOŸA, un disque mielleux et introspectif sur Spotify.",1,2026-05-15,15:00:42,posts_instagram
https://www.instagram.com/p/DY7AmfQoa5M/,4padel,"Qui veut défier @tayc ? 

#tayc #4PADEL #padel",0,2026-05-29,12:10:57,posts_instagram
https://www.instagram.com/p/DbnkWfcM99w/,instrurapofficiel,"Tayc officialise enfin la sortie de son nouveau single “SALO” en collaboration avec Didi B ! 🔥

Après plusieurs semaines de teasing, l’artiste franco-camerounais s’associe à la star ivoirienne pour un morceau très attendu. Cette collaboration fait déjà énormément parler sur les réseaux et pourrait bien marquer l’une des plus grosses sorties musicales de la semaine.

📅 Rendez-vous le 7 août pour découvrir “SALO” sur toutes les plateformes de streaming.

#Tayc #DidiB #SALO #Afrolove #RapIvoirien",1,2026-08-04,12:30:47,posts_instagram
https://www.instagram.com/p/DYIaeZOAnUD/,rapfrtendance,Tayc prend le micro pour son anniversaire au château de Vallery ! ✨🏰,0,2026-05-09,20:35:06,posts_instagram
https://www.instagram.com/p/DbtvOfZhUGH/,tayc,"SALO feat. @didibofficial 
OOOOUUUUT NOOOOWWWW !!!",0,2026-08-06,22:00:05,posts_instagram
https://www.instagram.com/p/DQEYCe2jC-O/,h24musiclabel,"Félicitations à @tayc pour le titre « Vous deux » certifié single d’or avec plus de 15 000 000 équivalents streams !🔥

Composé par @tayc , @nyadjiko 

(source : @snepmusique )",1,2025-10-21,10:44:01,posts_instagram
https://www.instagram.com/p/DbscufhsfF4/,tayc,"SALO ft. @didibofficial 
Disponible à minuit !
cover. @studio.molotov",1,2026-08-06,10:01:50,posts_instagram
https://www.instagram.com/p/DMuXXkpPHvE/,bastillebaobab,"Impossible de passer à côté du style unique du chanteur Tayc : entre sensualité, assurance et charisme brut. 🎤✨
Que ce soit sur scène, en clip ou en dehors des projecteurs, ses bijoux font toujours partie intégrante de son look.

📿 Chaînes en argent ou en or, bagues imposantes, bracelets en accumulation… Tayc maîtrise l’art de l’accessoire avec subtilité et puissance.
Chaque bijou devient une extension de son identité : classe, affirmé, urbain.

💬 Et vous, vous osez les bijoux comme Tayc ? Plutôt minimaliste ou maximaliste ?
Dites-nous en commentaire quel bijou vous ne quittez jamais ⬇️

#Tayc #StyleTayc #BijouxHomme #ModeUrbaine #CharismeAuFéminin #RnbFrançais #BijouxMasculins #LookInspiration #MensStyle #LookTendance #lookbaba #bastillebaobab",1,2025-07-30,08:00:42,posts_instagram
https://www.instagram.com/p/Db5YK-CCFPl/,tayc,"C’est bientôt la fin du run de l’été, mais il reste encore quelques dates, on a oublié quelle ville ?!",7,2026-08-11,10:30:01,posts_instagram
